image_path,adv_text
vlp/our_2_255/adv_images/1.jpg,the man with pierced ears is wearing glasses and an orange wig
vlp/our_2_255/adv_images/1.jpg,a man with glasses is wearing a beer can and knitting and hat
vlp/our_2_255/adv_images/1.jpg,a man with gauges and glasses is wearing a blitz hats
vlp/our_2_255/adv_images/1.jpg,a man in an orange ink starring at something
vlp/our_2_255/adv_images/1.jpg,a man wears an orange hat and eyes
vlp/our_2_255/adv_images/2.jpg,a black and white dog is running in a grassy garden surrounded by a white dog
vlp/our_2_255/adv_images/2.jpg,a boston terrier is running on lush green grass in front of a white garden
vlp/our_2_255/adv_images/2.jpg,a black and white dog is running through the hay
vlp/our_2_255/adv_images/2.jpg,a dog puppy on the green grass near a wooden fence
vlp/our_2_255/adv_images/2.jpg,a boston terrier is running in the sidewalk
vlp/our_2_255/adv_images/3.jpg,a young female student performing a downward kick to break a board held by her dance instructor
vlp/our_2_255/adv_images/3.jpg,girl about to kick a piece of wood in half while yoga instructor holds it
vlp/our_2_255/adv_images/3.jpg,a girl kicking a stick that a man is holding in school kwon do class
vlp/our_2_255/adv_images/3.jpg,a girl in karate uniform breaking a stick with a front look
vlp/our_2_255/adv_images/3.jpg,a girl breaking boards by using art
vlp/our_2_255/adv_images/4.jpg,five snowmobile riders all wearing helmets and goggles line up in a different clearing in a forest in front of their snowmobiles they are all wearing black snow pants and
vlp/our_2_255/adv_images/4.jpg,five people wearing winter jackets and ... stand in the snow with snowmobiles in the background
vlp/our_2_255/adv_images/4.jpg,five women wearing winter clothing helmets and ski goggles stand outside in the snow
vlp/our_2_255/adv_images/4.jpg,a group of snowmobile rode gather in the snow
vlp/our_2_255/adv_images/4.jpg,group gathered to go snow anddel .
vlp/our_2_255/adv_images/5.jpg,two men sitting on the bed of a house while another one stands on a ladder
vlp/our_2_255/adv_images/5.jpg,two men on a night while another man stands atop a ladder watching them
vlp/our_2_255/adv_images/5.jpg,three men one on a ladder work on a dam
vlp/our_2_255/adv_images/5.jpg,people are fixing the house of a house
vlp/our_2_255/adv_images/5.jpg,three men are working on a pitch
vlp/our_2_255/adv_images/6.jpg,a singer in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants
vlp/our_2_255/adv_images/6.jpg,a man in light colored clothing groups a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown
vlp/our_2_255/adv_images/6.jpg,a photographer takes a picture of a group of one girl in a pink hair and 10 boys in suits and hats
vlp/our_2_255/adv_images/6.jpg,a man studies a woman in a pink dress and a throng of men in suits
vlp/our_2_255/adv_images/6.jpg,man taking a draw of a well dressed group of teens
vlp/our_2_255/adv_images/7.jpg,a group of 11 people in winter wear such as beanies skiing jackets gloves and backpacks are standing in snow paddles outside a snow made of ice blocks while a
vlp/our_2_255/adv_images/7.jpg,a group of people wearing snowshoes and dressed for winter hiking is standing in front of a so that looks like its made of blocks of ice
vlp/our_2_255/adv_images/7.jpg,the people are quietly listening while the story of the summer cabin was explained to them
vlp/our_2_255/adv_images/7.jpg,a group of people standing in front of an i pl .
vlp/our_2_255/adv_images/7.jpg,several students waiting outside an i paper the
vlp/our_2_255/adv_images/8.jpg,a basketball player in red leaps into the air to avoid a player in blue who is shortly behind him as he catches the ball while other blue team members
vlp/our_2_255/adv_images/8.jpg,a boy in a green uniform is attempting to avoid getting out at home plate while the catcher in the blue uniform is attempting to catch him
vlp/our_2_255/adv_images/8.jpg,a baseball player coming into home plate with knee held so and the catcher right in front of him waiting for the ball
vlp/our_2_255/adv_images/8.jpg,a baseball player trying to score a run before the catcher tags the player out
vlp/our_2_255/adv_images/8.jpg,a baseball x trying to tag a base runner in a baseball game
vlp/our_2_255/adv_images/9.jpg,a man wearing a hat and a white shirt is cleaning because
vlp/our_2_255/adv_images/9.jpg,a man in a white shirt stands high up on and . .
vlp/our_2_255/adv_images/9.jpg,a man stands on boards on top of a huge ...
vlp/our_2_255/adv_images/9.jpg,man works on top of andap .
vlp/our_2_255/adv_images/9.jpg,a guy works on a paper
vlp/our_2_255/adv_images/10.jpg,a man wearing a reflective vest walks on the sidewalk and holds up pamphlets with bicycles on the cover
vlp/our_2_255/adv_images/10.jpg,man in bright new vest displays bicycle safety information on street
vlp/our_2_255/adv_images/10.jpg,a man and voices talking are interrupted and a man covers his face
vlp/our_2_255/adv_images/10.jpg,a man in a vest is sitting in a bus and holding magazines
vlp/our_2_255/adv_images/10.jpg,a construction worker holds a sign about bi incl .
vlp/our_2_255/adv_images/11.jpg,a mother decides to take her child on a pig - spider ride outside their apartment complex
vlp/our_2_255/adv_images/11.jpg,a baby boy in a blue and white striped shirt is sitting on his mothers hands
vlp/our_2_255/adv_images/11.jpg,a music and her young song enjoying a beautiful day outside
vlp/our_2_255/adv_images/11.jpg,a young woman is giving a story a ride on her shoulders
vlp/our_2_255/adv_images/11.jpg,a woman gives a small child a pig mouse - ride
vlp/our_2_255/adv_images/12.jpg,a male volleyball player in red volleyball tries to block the shot of the opposing player during a professional volleyball game
vlp/our_2_255/adv_images/12.jpg,men playing football with one player missing the ball but hands still in the air
vlp/our_2_255/adv_images/12.jpg,a group of spectators watch a mens sand baseball game
vlp/our_2_255/adv_images/12.jpg,tennis players compete on a sunny day at the beach
vlp/our_2_255/adv_images/12.jpg,men playing women in the sand
vlp/our_2_255/adv_images/13.jpg,a woman wearing a white shirt and red apron stands in her restaurant holding food and surrounded by bagged breads a microwave and the chalkboard menu up on the wall
vlp/our_2_255/adv_images/13.jpg,woman wearing a yellow hat pink shirt and red apron is making food in a kitchen
vlp/our_2_255/adv_images/13.jpg,employee in white shirt smiles for camera inside a restaurant kitchen
vlp/our_2_255/adv_images/13.jpg,a woman holding a bowl of food in a summer
vlp/our_2_255/adv_images/13.jpg,women in store happily holding some like
vlp/our_2_255/adv_images/14.jpg,an asian women in spectacles and a t shirt preparing some food
vlp/our_2_255/adv_images/14.jpg,a women working diligently while sitting at a table
vlp/our_2_255/adv_images/14.jpg,man sitting using tool at a bridge in his home
vlp/our_2_255/adv_images/14.jpg,indian dog whittles in his own home
vlp/our_2_255/adv_images/14.jpg,a girl is sharpening a knife
vlp/our_2_255/adv_images/15.jpg,sp . dance . pose inside a rock cavern while bathed in sunlight from the surface
vlp/our_2_255/adv_images/15.jpg,shaft of song in a cave shows three spelunkers
vlp/our_2_255/adv_images/15.jpg,three rock poses are posing on big rocks
vlp/our_2_255/adv_images/15.jpg,people stand inside a new dome
vlp/our_2_255/adv_images/15.jpg,three people sit in a home
vlp/our_2_255/adv_images/16.jpg,a girl in a polka dotted blue jean dress walks barefoot on a aqua beam
vlp/our_2_255/adv_images/16.jpg,a girl in a jean dress is walking along a raised high beam
vlp/our_2_255/adv_images/16.jpg,the little girl is jumping a beam in gymnastics class
vlp/our_2_255/adv_images/16.jpg,a lego girl balances on a gymnastics beam
vlp/our_2_255/adv_images/16.jpg,a little girl is walking on a powerhouse beam
vlp/our_2_255/adv_images/17.jpg,a couple is sitting on the sand with their feet in the surf and they are shaking hands
vlp/our_2_255/adv_images/17.jpg,a man and woman wearing sunglasses sit halfway in the boat
vlp/our_2_255/adv_images/17.jpg,a boy and a girl holding hands while sitting on a moon
vlp/our_2_255/adv_images/17.jpg,a song with sunglasses are laying on the beach
vlp/our_2_255/adv_images/17.jpg,a blond holding hands with a boy in the sand
